   time(s)  wall_constrict(nm)  rate (nm/s)
   4.00000717E-03   4.74305786E-02   11.8576241    
   9.00002290E-03  0.119042002       14.3222380    
   1.40000377E-02  0.188664451       13.9244490    
   1.90000553E-02  0.258203417       13.9077482    
   2.40000784E-02  0.337515742       15.8623886    
   2.90001053E-02  0.424212009       17.3391590    
   3.40001211E-02  0.524806440       20.1188221    
   3.90001386E-02  0.627986670       20.6359825    
   4.40001562E-02  0.729061484       20.2148743    
   4.90001813E-02  0.817022383       17.5920944    
   5.40002063E-02  0.904804707       17.5563869    
   5.90002276E-02  0.991214573       17.2818966    
   6.40002415E-02   1.07516980       16.7910118    
